ZPID,Address,City,State,ZIP,Price,Rent,Cash Flow,ROI,Down Payment,Monthly Mortgage,Total Expenses,Bedrooms,Bathrooms,Year Built
2060763121,"17 Pepperwood Way, Soquel, CA 95073","Soquel",CA,95073,398000,4141,2068,62.35,39800,1923,2073,2,2,1973
62865966,"8723 Carrollwood Cv N, Cordova, TN 38016","Cordova",TN,38016,225000,2965,1695,90.4,22500,1087,1270,4,3,1984
2068091278,"1194 State Hwy 12 #49, Montesano, WA 98563","Montesano",WA,98563,47500,2068,1689,426.57,4750,229,379,3,2,1993
2126285116,"9402 Beech Park St, Capitol Heights, MD 20743","Capitol Heights",MD,20743,79900,2106,1570,235.79,7990,386,536,2,1,1986
2101498979,"18741 SW 344th Dr, Homestead, FL 33034","Homestead",FL,33034,125000,3072,1555,149.29,12500,604,1517,3,2,1994
44809945,"8568 Heather Blvd, Weeki Wachee, FL 34613","Weeki Wachee",FL,34613,249900,2896,1514,72.68,24990,1207,1382,4,4,1980
460213806,"7152 Crowder Blvd, New Orleans, LA 70126","New Orleans",LA,70126,97000,2123,1504,186.11,9700,469,619,4,4,2026
58511348,"204 Wynnfield Way, McDonough, GA 30252","McDonough",GA,30252,333750,3247,1485,53.38,33375,1612,1762,5,3,1998
193905590,"1608 Backus St, Paducah, TX 79248","Paducah",TX,79248,35000,1803,1484,508.77,3500,169,319,3,2,1994
443424247,"3200 N Port Royale Dr N #511, Fort Lauderdale, FL 33308","Fort Lauderdale",FL,33308,370000,3409,1471,47.72,37000,1788,1938,2,2,1982
2071497189,"1375 Pasadena Ave S LOT 511, Saint Petersburg, FL 33707","Saint Petersburg",FL,33707,69999,1928,1440,246.83,7000,338,488,2,2,1978
45497675,"628 SE 21st St, Cape Coral, FL 33990","Cape Coral",FL,33990,375000,3343,1381,44.2,37500,1812,1962,3,3,1972
459971563,"388 Lukeman Ln, Tallahassee, FL 32304","Tallahassee",FL,32304,45000,1748,1381,368.16,4500,217,367,3,2,2004
47789956,"5051 N Highway A1a #T-4, Hutchinson Island, FL 34949","Hutchinson Island",FL,34949,407500,4921,1337,39.38,40750,1969,3584,3,2,1995
89745211,"11642 Addison Chase Dr, Riverview, FL 33579","Riverview",FL,33579,274000,2857,1336,58.52,27400,1324,1521,4,3,2008
61310151,"500 Loop Rd, Savoy, MA 01256","Savoy",MA,01256,229000,2504,1248,65.38,22900,1106,1256,3,1,1982
251443900,"6026 Hackberry Branch Ln, Richmond, TX 77407","Richmond",TX,77407,365000,3205,1232,40.49,36500,1763,1973,4,4,2019
77387412,"443 N Doris St, Wichita, KS 67212","Wichita",KS,67212,85000,1787,1226,173.13,8500,411,561,3,2,1977
67971603,"301 S Coppell Rd TRAILER 14-1, Coppell, TX 75019","Coppell",TX,75019,75900,2681,1146,181.23,7590,367,1535,3,2,2003
2068744451,"366156 E 5730th Rd, Terlton, OK 74081","Terlton",OK,74081,109000,1819,1142,125.77,10900,527,677,3,2,2011